,Rank Name,Code,Entry,J1,J2,J3,J4,J5,J6,J7,J8,J9
0,1 VALIEVA Kamila,ROC,Execution Score,59.71,61.71,60.71,59.71,53.71,58.71,57.71,57.71,56.71
1,1 VALIEVA Kamila,ROC,Skating Skills,9.5,9.5,9.5,9.5,9.25,9.5,9.5,9.5,9.5
2,1 VALIEVA Kamila,ROC,Transitions,9.25,9.25,9.25,9.5,9.25,9.25,9.5,9.25,9.25
3,1 VALIEVA Kamila,ROC,Performance,9.5,9.0,9.5,9.25,9.0,9.5,9.5,9.5,9.5
4,1 VALIEVA Kamila,ROC,Composition,9.5,9.5,9.25,9.5,9.5,9.5,9.5,9.75,9.25
5,1 VALIEVA Kamila,ROC,Interpretation of the Music,9.5,9.25,9.5,9.25,9.25,9.5,9.5,9.5,9.5
6,2 SHCHERBAKOVA Anna,ROC,Execution Score,58.01,58.01,60.01,59.01,52.01,57.01,60.01,56.01,60.01
7,2 SHCHERBAKOVA Anna,ROC,Skating Skills,9.25,9.0,9.0,9.25,8.75,9.0,9.25,9.25,9.25
8,2 SHCHERBAKOVA Anna,ROC,Transitions,9.25,9.25,9.0,9.25,8.75,9.0,9.25,9.25,9.25
9,2 SHCHERBAKOVA Anna,ROC,Performance,9.5,9.5,9.5,9.5,9.0,9.25,9.5,9.5,9.5
10,2 SHCHERBAKOVA Anna,ROC,Composition,9.5,9.5,9.25,9.5,9.25,9.25,9.5,9.5,9.5
11,2 SHCHERBAKOVA Anna,ROC,Interpretation of the Music,9.5,9.5,9.25,9.5,9.0,9.5,9.5,9.75,9.5
12,3 SAKAMOTO Kaori,JPN,Execution Score,58.949999999999996,57.949999999999996,59.949999999999996,60.949999999999996,56.949999999999996,56.949999999999996,60.949999999999996,60.949999999999996,56.949999999999996
13,3 SAKAMOTO Kaori,JPN,Skating Skills,9.25,9.5,9.25,9.5,9.25,9.25,9.0,9.5,9.0
14,3 SAKAMOTO Kaori,JPN,Transitions,8.75,9.25,9.0,9.5,9.0,8.75,8.75,9.0,8.75
15,3 SAKAMOTO Kaori,JPN,Performance,9.0,9.5,9.25,9.75,9.5,9.0,9.0,9.25,9.0
16,3 SAKAMOTO Kaori,JPN,Composition,8.75,9.5,9.0,9.5,9.25,9.0,9.0,9.25,9.25
17,3 SAKAMOTO Kaori,JPN,Interpretation of the Music,8.75,9.25,9.0,9.5,9.5,9.25,9.25,9.0,9.0
18,4 TRUSOVA Alexandra,ROC,Execution Score,47.11,46.11,50.11,54.11,43.11,50.11,50.11,49.11,51.11
19,4 TRUSOVA Alexandra,ROC,Skating Skills,8.75,8.75,8.75,8.75,8.75,8.75,8.5,8.75,9.0
20,4 TRUSOVA Alexandra,ROC,Transitions,8.75,8.5,8.75,9.0,8.75,8.75,8.25,8.5,9.0
21,4 TRUSOVA Alexandra,ROC,Performance,9.25,8.5,9.0,9.5,9.0,8.75,8.75,8.75,9.25
22,4 TRUSOVA Alexandra,ROC,Composition,9.0,8.25,8.75,9.5,9.0,9.0,8.75,9.0,9.25
23,4 TRUSOVA Alexandra,ROC,Interpretation of the Music,9.0,8.0,9.0,9.5,8.75,9.0,8.75,9.0,9.25
24,5 HIGUCHI Wakaba,JPN,Execution Score,46.99,43.99,43.99,45.99,45.99,49.99,44.99,44.99,46.99
25,5 HIGUCHI Wakaba,JPN,Skating Skills,8.75,8.75,8.5,9.0,8.75,8.75,8.25,8.5,8.25
26,5 HIGUCHI Wakaba,JPN,Transitions,8.25,8.5,8.25,8.75,8.25,8.25,8.0,8.0,8.25
27,5 HIGUCHI Wakaba,JPN,Performance,8.5,8.5,8.5,8.75,9.0,8.5,8.0,8.5,8.5
28,5 HIGUCHI Wakaba,JPN,Composition,8.5,8.75,8.25,8.75,8.75,8.5,8.0,8.25,8.5
29,5 HIGUCHI Wakaba,JPN,Interpretation of the Music,8.5,8.75,8.5,8.75,8.75,8.75,8.25,8.25,8.5
30,6 YOU Young,KOR,Execution Score,45.529999999999994,41.529999999999994,42.529999999999994,43.529999999999994,41.529999999999994,42.529999999999994,42.529999999999994,41.529999999999994,47.529999999999994
31,6 YOU Young,KOR,Skating Skills,8.5,8.5,8.25,8.75,8.5,8.5,8.25,8.25,8.5
32,6 YOU Young,KOR,Transitions,8.25,8.5,8.0,8.5,7.75,8.25,8.0,8.0,8.5
33,6 YOU Young,KOR,Performance,8.5,8.25,8.5,8.5,8.5,8.5,8.25,8.5,8.75
34,6 YOU Young,KOR,Composition,8.25,8.5,8.25,8.75,8.5,8.75,8.25,8.25,8.75
35,6 YOU Young,KOR,Interpretation of the Music,8.5,8.0,8.25,8.75,8.0,8.5,8.25,8.25,8.75
36,7 HENDRICKX Loena,BEL,Execution Score,45.629999999999995,44.629999999999995,43.629999999999995,45.629999999999995,41.629999999999995,47.629999999999995,43.629999999999995,41.629999999999995,46.629999999999995
37,7 HENDRICKX Loena,BEL,Skating Skills,8.5,8.5,8.5,8.75,8.5,8.5,7.75,8.5,8.5
38,7 HENDRICKX Loena,BEL,Transitions,8.0,8.5,8.0,8.5,8.5,8.5,8.0,8.25,8.25
39,7 HENDRICKX Loena,BEL,Performance,8.0,8.5,8.25,8.5,8.5,8.5,8.25,8.5,8.75
40,7 HENDRICKX Loena,BEL,Composition,8.25,8.75,8.5,8.75,9.0,8.75,8.25,8.75,8.5
41,7 HENDRICKX Loena,BEL,Interpretation of the Music,8.5,8.75,8.5,8.75,9.0,8.75,8.5,8.75,8.75
42,8 LIU Alysa,USA,Execution Score,49.61,42.61,45.61,46.61,40.61,46.61,47.61,45.61,45.61
43,8 LIU Alysa,USA,Skating Skills,8.5,7.75,8.25,8.25,7.75,8.25,8.0,8.25,8.25
44,8 LIU Alysa,USA,Transitions,8.25,7.75,8.25,8.0,7.5,8.0,8.0,7.75,8.25
45,8 LIU Alysa,USA,Performance,8.75,8.0,8.0,8.5,8.5,8.25,8.25,8.25,8.5
46,8 LIU Alysa,USA,Composition,8.5,8.0,8.25,8.25,7.75,8.25,8.25,8.0,8.5
47,8 LIU Alysa,USA,Interpretation of the Music,8.75,7.75,8.0,8.25,8.0,8.25,8.25,7.75,8.5
48,9 KIM Yelim,KOR,Execution Score,45.43,43.43,45.43,38.43,40.43,42.43,48.43,44.43,43.43
49,9 KIM Yelim,KOR,Skating Skills,8.5,8.5,8.5,8.0,8.25,8.0,8.25,8.0,8.0
50,9 KIM Yelim,KOR,Transitions,8.25,8.25,8.25,7.5,7.75,7.75,8.0,7.75,8.0
51,9 KIM Yelim,KOR,Performance,8.5,8.5,8.0,7.75,8.25,8.0,8.25,8.25,8.25
52,9 KIM Yelim,KOR,Composition,8.25,8.5,8.25,7.75,8.0,8.0,8.25,8.0,8.25
53,9 KIM Yelim,KOR,Interpretation of the Music,8.5,8.25,8.0,7.75,8.0,7.75,8.5,7.75,8.5
54,10 GUBANOVA Anastasiia,GEO,Execution Score,45.99,39.99,43.99,36.99,40.99,37.99,39.99,42.99,41.99
55,10 GUBANOVA Anastasiia,GEO,Skating Skills,8.25,7.75,7.75,7.5,8.5,7.5,7.25,7.75,7.5
56,10 GUBANOVA Anastasiia,GEO,Transitions,7.75,7.75,7.5,7.0,8.0,7.5,7.25,7.5,7.25
57,10 GUBANOVA Anastasiia,GEO,Performance,8.0,8.0,7.75,7.25,8.25,7.5,7.5,8.0,7.75
58,10 GUBANOVA Anastasiia,GEO,Composition,7.75,8.0,7.75,7.0,8.25,7.75,7.5,8.0,7.5
59,10 GUBANOVA Anastasiia,GEO,Interpretation of the Music,8.0,8.25,8.0,7.25,8.5,8.0,7.5,8.25,7.75
60,11 BELL Mariah,USA,Execution Score,39.95,42.95,43.95,39.95,40.95,40.95,42.95,42.95,38.95
61,11 BELL Mariah,USA,Skating Skills,8.25,9.0,8.25,8.25,8.5,8.0,8.25,8.25,7.75
62,11 BELL Mariah,USA,Transitions,8.25,8.75,7.75,8.0,8.25,7.75,8.25,8.0,8.0
63,11 BELL Mariah,USA,Performance,8.5,8.5,7.75,8.25,8.5,8.0,8.5,8.0,8.0
64,11 BELL Mariah,USA,Composition,8.25,9.0,8.0,7.75,8.5,8.0,8.5,8.25,8.25
65,11 BELL Mariah,USA,Interpretation of the Music,8.5,8.75,8.25,8.0,8.25,8.25,8.5,8.5,8.25
66,12 BREZINOVA Eliska,CZE,Execution Score,43.73,40.73,44.73,40.73,37.73,41.73,44.73,42.73,37.73
67,12 BREZINOVA Eliska,CZE,Skating Skills,7.25,6.75,7.5,7.0,7.5,7.25,7.0,7.0,7.0
68,12 BREZINOVA Eliska,CZE,Transitions,6.75,7.0,7.0,6.5,7.25,7.0,6.75,6.75,6.75
69,12 BREZINOVA Eliska,CZE,Performance,7.5,7.25,7.5,7.25,7.5,7.5,7.0,7.0,7.0
70,12 BREZINOVA Eliska,CZE,Composition,7.25,7.25,7.0,6.75,7.25,7.25,7.25,7.0,7.25
71,12 BREZINOVA Eliska,CZE,Interpretation of the Music,7.5,7.0,7.25,7.0,7.5,7.5,7.25,7.25,7.0
72,13 CHEN Karen,USA,Execution Score,39.47,34.47,36.47,36.47,37.47,37.47,39.47,34.47,39.47
73,13 CHEN Karen,USA,Skating Skills,8.75,8.5,8.5,8.25,8.5,8.5,8.5,8.5,8.5
74,13 CHEN Karen,USA,Transitions,8.25,8.5,8.0,8.25,8.5,8.5,8.25,8.25,8.25
75,13 CHEN Karen,USA,Performance,8.5,8.25,8.0,8.5,8.5,8.25,8.5,8.0,8.5
76,13 CHEN Karen,USA,Composition,8.5,8.5,8.25,8.5,8.75,8.75,8.75,8.5,8.75
77,13 CHEN Karen,USA,Interpretation of the Music,8.75,8.25,8.25,8.5,8.75,8.5,8.75,8.25,8.75
78,14 SCHOTT Nicole,GER,Execution Score,41.989999999999995,39.989999999999995,40.989999999999995,36.989999999999995,34.989999999999995,37.989999999999995,40.989999999999995,41.989999999999995,38.989999999999995
79,14 SCHOTT Nicole,GER,Skating Skills,7.75,7.25,7.5,7.5,7.75,7.5,7.25,7.5,7.5
80,14 SCHOTT Nicole,GER,Transitions,7.5,7.25,7.0,7.0,7.5,7.25,7.25,7.25,7.25
81,14 SCHOTT Nicole,GER,Performance,7.75,7.5,7.5,7.25,7.5,7.75,7.5,8.0,7.75
82,14 SCHOTT Nicole,GER,Composition,7.5,7.75,7.25,7.5,8.0,7.5,7.5,7.75,7.5
83,14 SCHOTT Nicole,GER,Interpretation of the Music,7.75,7.75,7.5,7.5,8.0,7.75,7.75,7.75,7.75
