,Judger A,Judger B,Judger C,NOC Code,Result
0,J1,J2,J3,,1.1258257651643126e-06
1,J1,J2,J4,,2.2469802517942953e-06
2,J1,J2,J5,,2.7982578155773205e-07
3,J1,J2,J6,,8.198315229856321e-07
4,J1,J2,J7,,1.258124180758974e-06
5,J1,J2,J8,,1.4553915786864141e-06
6,J1,J2,J9,,7.346217614295511e-07
7,J1,J3,J2,,1.2223046485219963e-05
8,J1,J3,J4,,1.7233068036270407e-05
9,J1,J3,J5,,1.2037922780254922e-05
10,J1,J3,J6,,1.4396533818289393e-05
11,J1,J3,J7,,1.5316416573392657e-05
12,J1,J3,J8,,7.919121612134005e-06
13,J1,J3,J9,,4.622551206204137e-06
14,J1,J4,J2,,-2.40552233905973e-08
15,J1,J4,J3,,4.1734513048573134e-07
16,J1,J4,J5,,3.261326481117177e-07
17,J1,J4,J6,,-1.7879931307608048e-07
18,J1,J4,J7,,5.145974347609821e-06
19,J1,J4,J8,,8.010824283402069e-07
20,J1,J4,J9,,-1.0082531865933404e-07
21,J1,J5,J2,,3.7948846678049016e-07
22,J1,J5,J3,,5.457261614991308e-07
23,J1,J5,J4,,3.27618054033247e-06
24,J1,J5,J6,,3.432508367727159e-07
25,J1,J5,J7,,4.147000050987498e-06
26,J1,J5,J8,,5.127690660045124e-07
27,J1,J5,J9,,-2.9629825511172427e-09
28,J1,J6,J2,,3.4588023492399765e-06
29,J1,J6,J3,,3.598933959482673e-06
30,J1,J6,J4,,4.404537677062485e-06
31,J1,J6,J5,,8.977405220413314e-07
32,J1,J6,J7,,9.707159956085692e-06
33,J1,J6,J8,,1.7327627966292198e-06
34,J1,J6,J9,,3.4114878456494495e-06
35,J1,J7,J2,,4.590117737515493e-06
36,J1,J7,J3,,7.83102622071482e-06
37,J1,J7,J4,,2.7826003920592377e-05
38,J1,J7,J5,,1.805466346321061e-06
39,J1,J7,J6,,5.8157428647146135e-06
40,J1,J7,J8,,7.108661330736878e-06
41,J1,J7,J9,,1.0354999344321514e-05
42,J1,J8,J2,,2.626814259583921e-05
43,J1,J8,J3,,9.43583242618609e-06
44,J1,J8,J4,,3.4726833122370075e-05
45,J1,J8,J5,,1.85649389459971e-05
46,J1,J8,J6,,1.993119171519953e-05
47,J1,J8,J7,,2.8994510826017185e-05
48,J1,J8,J9,,2.019701615280001e-05
49,J1,J9,J2,,1.8099459071956865e-05
50,J1,J9,J3,,4.574953148225044e-06
51,J1,J9,J4,,2.1025489178413467e-05
52,J1,J9,J5,,1.5431436535645585e-05
53,J1,J9,J6,,1.3280501540695776e-05
54,J1,J9,J7,,2.3425947326683922e-05
55,J1,J9,J8,,1.6809845429758913e-05
56,J2,J1,J3,,1.239183711712927e-06
57,J2,J1,J4,,2.0563127037073294e-06
58,J2,J1,J5,,1.8543407833496553e-08
59,J2,J1,J6,,8.703397762386854e-07
60,J2,J1,J7,,1.0628270974269664e-06
61,J2,J1,J8,,1.3950464752859699e-06
